AdditionalInfo,Name,Amount,PrintSize,PrintResolutionY,PrintResolutionX,Description,Weight,PagePerMinute,Brand,PrintingTechnology,FunctionType,Price,Size
"Поддержка сервиса «Виртуальный принтер Google»  
iOS: AirPrint, приложение Canon PRINT Business  
Android: сертификация Mopria, подключаемый модуль  
Canon Print Service, приложение Canon PRINT Business  
Память: 512 MБ  
Рекомендуемый ежемесячный объем печати: 500-2500 страниц в месяц  
Производительность: макс. 15000 страниц в месяц  
Источник питания: 220–240 В (± 10%), 50/60 Гц (± 2 Гц)  
Условия эксплуатации: температура: 10–30 °C, относительная влажность: 20–80%
(без конденсации)

","
Canon i-SENSYS MF247dw with Wi-Fi (1418C097) ",13,A4,600,600,"**Canon i-SENSYS MF247dw** — производительное офисное устройство для печати,
копирования, сканирования и отправки факсов с широким выбором вариантов
подключения. Монохромные лазерные принтеры объединяющие функции печати,
копирования, сканирования и отправки факсов, а также с расширенными
возможностями подключения для мобильной печати — идеальное решение для
небольших рабочих групп.

 **Идеальное устройство для небольших офисных пространств**

  * Возможность подключения к принтеру по беспроводной сети или по сети Ethernet, а также поддержка PCL6 позволяет легко интегрировать устройства в существующие сети.
  * Выполняйте работу эффективнее, сократите время ожидания, используя технологию Quick Print, которая обеспечивает быстрый выход принтера из режима сна, автоматическую двухстороннюю печать и скорость печати 27 стр./мин. 

**Смартфон? Планшет? Нет проблем**

  * Беспроводная поддержка сервисов Mopria (Android), Apple AirPrint (iOS) и приложения Canon PRINT Business (Android и iOS).

 **Упрощенный процесс обмена документами благодаря поддержке облачных
ресурсов**

  * Сканирование в облачные ресурсы одним нажатием c помощью MF Scan Utility.
  * Печать и сканирование документов из популярных облачных ресурсов с приложением Canon PRINT Business.
  * Подключение к учетной записи сервиса «Виртуальный принтер Google» за считанные секунды.

 **Управляйте работой принтера в режиме реального времени, используя компьютер
или мобильные устройства**

  * Легкий доступ к сведениям о работе принтера, изменению сетевых настроек, созданию адресной книги и проверке уровня тонера.

 **Сканируйте и обменивайтесь документами быстро**

  * Сканируйте и отправляйте файлы по электронной почте или по сети напрямую с устройства.

 **Экологичное решение**

  * Эко-отчеты позволяют контролировать расход бумаги и потребление энергии.
  * Автоматическая функция двусторонней печати помогает свести ежедневный расход бумаги к минимуму. 

",12.2,27,Canon,Лазерная печать (ч/б),МФУ,13208,390 x 371 x 360
"Разрешение сканирования, точек на дюйм: 600 x 600, 400 x 400, 300 x 300, 200 x
200

","
Xerox WorkCentre 5021B (5021V_B) ",9,A3,600,600,"Многофункциональное устройство копир-принтер-сканер формата А3 со скоростью
печати 20 страниц А4 в минуту. Устройство оснащено интерфейсом USB, 128 Мб
оперативной памяти, запасом бумаги в 350 листов и рассчитано на максимальную
нагрузку в 25 000 страниц в месяц. Версия WorkCentre 5021D также оснащена
двусторонним автоматическим податчиком документов на 110 листов и
автоматическим дуплексным модулем. Габариты и вес новых аппаратов позволяют
использовать их в качестве настольных.

 **Ключевые преимущества аппарата:**

  * Наличие полного функционала МФУ (копир/принтер/сканер) уже в стандартной комплектации – нет необходимости в дополнительных затратах. 
  * Возможность быстрой и простой самостоятельной установки, позволяющая снизить затраты за запуск устройства. 
  * Интуитивно-понятный пользовательский интерфейс, упрощающий выполнение повседневных задач. 
  * Большой запас бумаги 350/850 листов, позволяющий минимизировать время, необходимое на обслуживание аппарата. 
  * Современный быстрый контроллер с процессором 300 МГц и 128 MБ оперативной памяти, позволяющий быстро обрабатывать задания печати. 
  * Наличие расширенного функционала: таких функций как ID Card Copy, Job Build, копирование нескольких страниц на одной, автоматический поворот и масштабирование изображений – эти функции позволяют автоматизировать рабочие процессы, на выполнение которых ранее уходили часы. 
  * Программное обеспечение ABBYY Finereader и Xerox Scan to PC Desktop 11 в стандартном комплекте поставки. Наличие данного ПО позволяет пользователям без дополнительных затрат значительно повысить эффективность документооборота за счет перевода бумажных документов в электронный вид и за счет возможности профессиональной работы с файлами PDF.

  

 **Совместимые картриджи:**

Черный: Xerox 006R01573 (9000 страниц), Xerox 013R00670 (80000 страниц)

",30,20,Xerox,Лазерная печать (ч/б),МФУ,16864,595 x 569 x 496
"Лоток подачи бумаги: 100 листов  
Емкость выходного лотка: 30 листов  
Печать на фотобумаге, карточках, конвертах  
Тип чернил: водорастворимые  
Тип сканера: планшетный  
Тип датчика: CIS  
Максимальный формат оригинала: А4  
Максимальный размер сканирования: 216x297 мм  

","
Epson L382 (C11CF43401) ",7,A4,1440,5760,"**Epson L382** — это эксклюзивная модель 3-в-1 (принтер, сканер и копир),
доступная у ограниченного числа партнеров. Как и все устройства серии
**Фабрика печати Epson** эта модель использует для печати большие встроенные
чернильные емкости вместо картриджей, что обеспечивает существенную экономию.
Проверенная временем надежность и качественная печать в купе с высокой
экономичностью делают это МФУ отличным решением как для домашней, так и для
бизнес-печати.

 **Забудьте о картриджах**  
Особенность всех устройств серии «Фабрика печати Epson» – это печать без
картриджей. Вместо картриджей они используют встроенные чернильные емкости.
Объем чернильных контейнеров к принтерам серии «Фабрика печати Epson» в 10 раз
превышает объем стандартного картриджа и составляет 70 мл чернил. Кроме того,
заправить принтер очень просто — достаточно перевернуть контейнер с чернилами
носиком вниз и перелить чернила в емкости до указанной отметки.

 **В 25 раз выгоднее картриджных устройств**  
Контейнеры с чернилами стоят в 2.5 раза дешевле аналогичных картриджей, при
этом чернил в контейнерах в 10 раз больше, чем в картриджах. Не ограничивайте
себя в печати, с «Фабрикой печати Epson» вы получаете больше чернил за меньшие
деньги.

 **Печатайте до 3-х лет без покупки расходных материалов**  
Вам не потребуется покупать дополнительные чернила, потому что в комплект
поставки уже входит набор контейнеров с чернилами. Одного набора контейнеров
хватит, чтобы распечатать до 7500 цветных и 4500 ч/б страниц.

 **Высокая скорость печати**  
Максимальная скорость печати на **Epson L382** доходит до 33 стр./мин.
Благодаря отсутствию нагревательных элементов принтеру не требуется время на
прогрев, поэтому он приступает к работе сразу после отправки задания на
печать.

 **Впечатляющее качество печати**  
Благодаря уникальной технологии печати Epson Micro Piezo и точному контролю
давления в емкостях с чернилами вы всегда получаете отпечатки превосходного
качества. Специально разработанные материалы, на основе которых изготовлены
компоненты устройства, обеспечивают долгий срок службы принтера и работу без
поломок.

 **Фотографии с полями и без**  
 **Epson L382** печатает не только черно-белые и цветные документы (с
графикой), но и отлично справляется с печатью фотографий до формата А4.
Оригинальные чернила и технологичная печатающая головка Epson Micro Piezo
обеспечивают яркие цвета и четкие детали на фотографиях — как с полями, так и
без (печать в «край»).

 **Надежность, проверенная миллионами пользователей**  
С момента появления устройств серии «Фабрика печати Epson» на рынке было
продано более 15 000 000 принтеров и МФУ по всему миру. Также как и
официальная гарантия от производителя, которая составляет 12 месяцев или 30000
отпечатков, это подтверждает высокую надежность устройств серии.

",4.4,33,Epson,Струйная печать,МФУ,5168,300 x 482 x 145
"**Копирование:**  
Уменьшение/увеличение: 25–400%  
Макс. количество копий: 99 листов  
Скорость копирования: A4 26 копий/мин (цвет), 30 копий/мин (ч/б)  
Время выхода первой копии: 14 сек (цвет),12 сек (ч/б)  
**Сканирование:**  
Разрешение сканирования: макс. 600 x 600 точек на дюйм  
Скорость сканирования: макс. 30 изобр./мин (цвет), 30 изобр./мин (ч/б)  
Формат вывода: Secure PDF, High compression PDF, PDF, JPEG, TIFF, XPS  
**Факс:**  
Линия подключения: PSTN, PBX  
Интерфейс: RJ-11 x 2 (телефонная линия)  
Разрешение при передаче: обычный режим: 8 точек / мм x 3.85 линии / мм  
Хорошее качество/фото: 8 точек / мм x 7.7 линии / мм  
Хорошее качество: 8 точек / мм x 15.4 линий / мм  
Скорость передачи: Super G3: 33.6 кбит/с  
Метод кодирования: MH, MR, MMR, JBIG  
Режим связи: ITU-TG3, Super G3  
Формат оригинала при передаче: макс. Legal 14, длина 355 мм  
Формат бумаги: макс. Legal 14, мин. A4  
Время передачи: 2 с/стр  
Память: макс. 8000 страниц (256 МБ)  
Другие функции: факс с ПК, широковещательная рассылка (20 групп, 100 адресов в
группе), быстрый набор (300 адресов)  

","
OKI MC363dn-Euro (46403502) ",20,A4,1200,600,"**Стандартная гарантия — 1 год, при регистрации на[официальном
сайте](https://www.okiwarranty.com/survey/okilangselect.aspx) — 3 года!**

  
 **MC363dn** задает новые стандарты в классе принтеров для небольших компаний,
обеспечивая непревзойденное качество и предоставляя превосходные
функциональные возможности каждой организации. Эти компактные устройства со
сверхвысокой скоростью печати и необходимыми функциями для работы с
документами с большим количеством графики могут помочь любой компании успешно
развить свой бизнес, не выходя за рамки бюджета благодаря возможностям цветной
печати профессионального качества и снижению расходов на услуги сторонних
исполнителей.

 **Высокая производительность — функции печати, копирования, сканирования и
факса**  
Простое в использовании устройство **MC362dn** с высокой скоростью цветной и
монохромной печати оснащено функциями печати, копирования, сканирования и
факса, позволяет экономить время и способствует эффективной работе компаний и
рабочих групп.

  * Автоматическая двусторонняя печать, копирование, сканирование и передача факсов в стандартной комплектации
  * Скорость печати/сканирования до 26 стр/мин (цвет) и 30 стр/мин (моно)
  * Стандартная емкость загрузки бумаги 250 листов и возможность приобретения дополнительного второго лотка на 530 листов
  * 1 ГБ оперативной памяти для бесперебойной печати документов с большим количеством графики
  * Протокол LDAP обеспечивает прямой доступ к контактам и адресам электронной почты из существующего каталога сервера

  

 **Расширенные возможности подключения — индивидуальная печать или совместное
использование участниками небольшой рабочей группы**  
Принтер **MC363dn** с поддержкой работы в сети идеально подходит для
индивидуальных пользователей и небольших рабочих групп. Совместимость с
Gigabit Ethernet обеспечивает быструю передачу больших цветных файлов по сети.

 **Поддержка различных носителей — профессиональные документы различного
формата и плотности**  
Универсальное устройство **MC362dn** позволяет печатать визитки, брошюры,
буклеты, баннеры и другие материалы в профессиональном качестве на бумаге
различного формата и карточках различной плотности.

  * Поддержка различных носителей — печать от формата A6 до баннеров длиной 1.3 м и карточек плотностью до 220 г/кв.м
  * Стандартная емкость загрузки бумаги 250 листов и возможность приобретения дополнительного второго лотка на 530 листов
  * Многоцелевой лоток на 100 листов с автоматическим распознаванием различных типов бумаги
  * Высокое качество и четкость многоуровневой печати ProQ2400, разрешение печати 1200 x 600 точек на дюйм

  

 **Простота настройки, использования и обслуживания — двусторонняя печать и
экологичные функции помогают экономить энергию и деньги**  
 **MC363dn** легко настраивать и использовать с помощью различных экологичных
функций, включая двустороннюю печать в стандартной комплектации, которые
помогают экономить электроэнергию и уменьшать эксплуатационные расходы.

  * Простота настройки перед началом работы
  * Режим глубокого сна снижает потребление электроэнергии до менее 1.5 Вт
  * Режим автоотключения отключает питание после длительного простоя в режиме глубокого сна
  * Двусторонняя печать в стандартной комплектации помогает экономить бумагу
  * Бесшумный режим — идеальное решение для небольших офисов
  * Мелкодисперсный тонер высокой четкости обеспечивает высочайшее качество печати

  
  

",29,26,OKI,Светодиодная печать (цветная),МФУ,12928,427 x 509 x 444
"Разрешение сканирования: до 600 x 2400 точек/дюйм (с рабочей поверхности
сканера), до 19 200 x 19 200 точек/дюйм (в режиме интерполяции)  

","
Brother DCP-L2520DWR with Wi-Fi (DCPL2520DWR1) ",7,A4,2400,600,"Компактное многофункциональное лазерное устройство **Brother DCP-L2520DWR**
прекрасно подойдет для дома и небольшого офиса.

**Brother DCP-L2520DWR** производит черно-белую печать высокого качества.
Скорость односторонней печати формата А4 составляет 26 страниц в минуту, а
двухсторонней печати до 13 страниц в минуту. Лоток для бумаги рассчитан на 250
листов, что позволяет отпечатать большое количество информации без остановки.

Для настройки МФУ используется проводное подключение через USB 2.0. Для
комфорта использования установлена беспроводная сеть Wi-Fi, а функция Wi-Fi
Direct позволит использовать принтер без подключения к беспроводной точке
доступа. Для управления принтером используется ЖК — дисплей.

**Совместимые картриджи:**

Блок фотобарабана DR-2335 (12 000 страниц)  
Тонер-картридж TN-2335 (1200 страниц)  
Тонер-картридж TN-2375 (2600 страниц)

",9.7,26,Brother,Лазерная печать (ч/б),МФУ,8476,409 x 398.5 x 267
"Поддержка функции HP ePrint  
Прямая беспроводная связь и подключение к локальной сети Wi-Fi для мобильной
печати с помощью Apple AirPrint и других решений  
Поддержка печати с большинства смартфонов и планшетов на базе следующих
операционных систем: Android, iOS, Blackberry, Symbian, Windows 8, Windows RT
и Windows 10 Mobile  
  
Выход первой страницы (режим готовности):  
Черно-белая: за 15 секунд  
Цветная: за 18 секунд  
  
Рекомендуемый ежемесячный объем печати: 200 - 400 страниц  
Максимальный ежемесячный объем печати: до 1000 страниц  
Лоток подачи бумаги: до 60 листов  
Приемный лоток: до 25 листов  
Датчик для автоматического определения типа бумаги  
Двусторонняя печать: с ручной подачей бумаги (поддержка драйверов)  
  
Формат файла сканирования: JPEG, TIFF, PDF, BMP, PNG  
Разрядность: 24 бита  
Настройка уменьшения/увеличения копий: от 25 до 200 %  
  
Питание: 100–240 В переменного тока (+/-10%), 50/60 Гц (+/-3 Гц)  
Диапазон температур при эксплуатации: oт 5 до 40 ºC  
Влажность при эксплуатации: 20–80%  
  
Максимальные размеры (Д x Ш x В): 438 x 553.5 x 256.6 мм (с выдвинутыми
входным и выходным лотком/удлинителем)

","
HP DeskJet Ultra Ink Advantage 4729 with Wi-Fi (F5S66A) 
",16,A4,4800,1200,"**HP DeskJet Ultra Ink Advantage 4729 with Wi-Fi** обладает всем необходимым
для работы. Используйте оригинальные картриджи **HP** ультравысокой емкости и
создавайте тысячи документов высочайшего качества. Оставайтесь всегда на
связи, отправляя документы на печать прямо со смартфона или планшета.
Экономьте средства за счет низкой стоимости печати каждой страницы.

 ** _Печатайте еще больше не в ущерб качеству_**  
Печать превосходного качества. Оцените надежность системы и удобство ее
обслуживания. Экономьте время, деньги и расходные материалы.  
Сократите время на замену картриджей. Используйте оригинальные струйные
картриджи **HP** увеличенной емкости, чтобы создавать больше долговечных
отпечатков.

 ** _Удобная печать с мобильных устройств_**  
Выполняйте печать так, как Вам удобно. Благодаря возможностям беспроводной
связи Вы легко можете печатать документы практически с любого смартфона или
планшета.  
Возможности простой настройки со смартфона, планшета или ПК позволяют быстро
приступить к печати.  
Подключите смартфон или планшет напрямую к принтеру и выполняйте печать без
подключения к сети.  
Бесплатное приложение _HP All-in-One Printer Remote_ позволяет с легкостью
управлять заданиями печати и выполнять сканирование с помощью мобильных
устройств.

 ** _Неизменно высокое качество печати_**  
Используйте бумагу _ColorLok_ , чтобы получить отпечатки высокой четкости,
сделать их более контрастными и избежать смазывания изображения.  
Расширьте возможности печати. Создавайте документы без полей, не уступающие по
качеству лазерной печати, дома или в офисе.  
Оригинальные чернила **HP** помогают создавать долговечные цветные фотографии,
устойчивые к смазыванию и воздействию влаги и не выцветающие на протяжении
десятилетий.  
H **P DeskJet Ultra Ink Advantage 4729 с Wi-Fi** отличается надежностью и
неизменно высоким качеством печати.

 ** _Все самое необходимое без необходимости в долгой настройке_**  
Оцените удобные функции управления. На экране МФУ предусмотрены специальные
кнопки для печати, сканирования и копирования документов.  
Печатайте рабочие документы, сводки новостей и многое другое с помощью
бесплатного приложения _HP Printables_ , которое доставляет содержимое на Ваш
принтер по расписанию.  
Сосредоточьтесь на работе. Переключите устройство в тихий режим работы, чтобы
свести уровень шума к минимуму.  
Печатайте рабочие документы, сводки новостей и многое другое с помощью
бесплатного приложения _HP Printables_ , которое доставляет содержимое на Ваш
принтер по расписанию.

 **Совместимые картриджи:**

Черный: HP 46 Black  
Трехцветный: HP 46 Tri-color

",4.17,7.5,HP (Hewlett Packard),Струйная печать,МФУ,4963,310 x 438 x 158
"Разрешение сканирования: до 600 x 2400 точек/дюйм (с рабочей поверхности
сканера), до 600 x 600 точек/дюйм (из автоподатчика), до 19 200 x 19 200
точек/дюйм (в режиме интерполяции)  
Двустороннее сканирование  
Факс-модем: 33.6 Кбит/с

","
Brother MFC-L2740DWR with Wi-Fi (MFCL2740DWR1) ",13,A4,2400,600,"**Brother MFC-L2740DWR** \- профессиональный многофункциональный черно-белый
лазерный принтер с поддержкой Wi-Fi и проводного подключения к сети.

С помощью сенсорного дисплея диагональю 6.8 см вы сможете подключиться к
Интернету и легко настроить общий доступ к принтеру. Лоток на 250 листов
позволит вам реже добавлять бумагу, что сделает рабочий процесс более гибким и
эффективным.

Кроме этого, благодаря дополнительным тонер-картриджам повышенной емкости и
функции автоматической двусторонней печати вы сможете снизить расходы на
печать. Чтобы уменьшить расходы на печать, используйте входящий в комплект
поставки тонер-картридж на 1200 страниц.

С этим профессиональным черно-белым лазерным принтером вы сможете с легкостью
повысить эффективность своей работы. Многофункциональный принтер **MFC-
L2740DWR** способен удовлетворить все требования к печати в условиях
напряженной офисной работы, ведь выполнять различные задачи с ним очень
просто.

Это многофункциональное решение может печатать, копировать, сканировать и
работать с факсами, а также оснащено специальными функциями, которые помогут
вам экономить время и средства. Устройство отличается простотой использования
и способно обеспечить стабильно высокие результаты работы.

 **Совместимые картриджи:**

Блок фотобарабана DR-2335 (12 000 страниц)  
Тонер-картридж TN-2335 (1200 страниц)  
Тонер-картридж TN-2375 (2600 страниц)

",11.8,30,Brother,Лазерная печать (ч/б),МФУ,12158,409 x 398.5 x 316.5
,"
Принтер BROTHER HL-L2360DN 
",12,A4,600,2400,"**Brother HL-L2360DNR** — компактный профессиональный чёрно-белый лазерный
принтер с поддержкой проводной сети

Более эффективная работа с документами благодаря скорости печати до 30
стр./мин. Совместное использование благодаря встроенному интерфейсу сети
Ethernet. Двухсторонняя печать, режим экономии тонера и функция глубокого сна
помогут существенно снизить расходы.

**Особенности:**

  * Скорость печати до 30 стр/мин
  * Возможность подключения к проводной сети
  * Автоматическая двусторонняя печать
  * Печать с мобильных устройств с помощью iPrint&Scan, AirPrint, Google Cloud PrintTM, Cortado, MopriaTM или Wi-Fi DirectTM
  * 1-строчный ЖК-дисплей
  * Встроенное программное обеспечение для управления печатью через веб-интерфейс
  * Средство управления подключенными сетевыми устройствами Brother

**Совместимые картриджи:**

DR-2335: фотобарабан на 12000 страниц  
TN-2335: тонер-картридж на 1200 страниц  
TN-2375: тонер-картридж повышенной ёмкости на 2600 страниц  
  

",6.9,30,Brother,Лазерная печать (ч/б),Принтеры,4120,356 x 360 x 183
"Время разогрева: До 17 секунд  
Время выхода первого листа: До 6.4 секунд  
Время выхода первой копии: Приблизительно 6.4 секунд  
Источник электропитания: 220/240 В, 50/60 Гц  
Уровень шума (ISO 7779 / ISO 9296)  
Стандарты безопасности: TÜV/GS, CE  
Память: 512 МБ  
Процессор: 800 МГц  
Язык контроллера: PRESCRIBE IIe  
Эмуляции: PCL6 (5c, XL), KPDL 3 (совместим с PostScript 3), Line Printer, IBM
Proprinter X24E, Epson LQ-850, Diablo 630, PDF Direct Print, XPS Direct Print
(требует расширения памяти)  

","
Kyocera Ecosys M2540dn (1102SH3NL0) ",16,A4,1200,1200,"Монохромное лазерное мфу А4 (принтер, копир, сканер, факс в одном) **Kyocera
ECOSYS M2540dn.**  
  
Черно-белое лазерное мфу **Kyocera ECOSYS M2540dn** обладает высокой
эффективностью и всеми самыми необходимыми функциональными возможностями.
Сетевая печать (дуплекс стандартно), подача оригиналов с помощью автоподатчика
на 50 листов, цветное сканирование и прочее позволяют оптимизировать рабочие
процессы и уменьшить общие эксплуатационные затраты. Ускорить работу помогут
такие характеристики монохромного лазерного мфу **Kyocera ECOSYS M2540dn** ,
как сетевое сканирование, сетевая печать и копирование со скоростью 40
стр./мин., оперативная память на 512 Мб с возможностью расширения до 1536 Мб.
Уменьшить затраты на добавление бумаги можно с помощью опциональных кассет по
250 листов каждая.  
Лазерное монохромное мфу **Kyocera ECOSYS M2540dn** станет современным
надежным помощником в офисе.  
  
**Особенности:**

  * До 40 страниц в минуту формата A4
  * Время выхода первой копии и печати первой страницы 6.4 сек
  * Двусторонний однопроходный автоподатчик с поддержкой А6 формата
  * 1200 точек на дюйм — качество печати
  * Устройство двусторонней печати для экономии стоимости двусторонней печати
  * До 2 дополнительных податчиков бумаги вместимостью до 850 листов
  * Компактная конструкция с печатью с низким уровнем шума
  * Исключительно низкая стоимость печати в своем классе

",19,40,Kyocera,Лазерная печать (ч/б),МФУ,13171,412 х 417 х 437
"Емкость лотка подачи бумаги: 400 (300+100) листов  
Емкость лотка приема бумаги: 250 листов  
Максимальный объем печати: 50000 стр/мес  
Емкость обходного лотка подачи бумаги: 100 лист  
Печать фотографий  

","
OKI C823N-Euro (46471514) ",2,A3,1200,600,"**Стандартная гарантия — 1 год, при регистрации на[официальном
сайте](https://www.okiwarranty.com/survey/okilangselect.aspx) — 3 года!**

  
Благодаря поддержке различных носителей и испытанной технологии цифровой
светодиодной печати компактный и недорогой принтер **C823** является идеальным
бюджетным выбором для высококачественной повседневной печати деловых
документов и оснащен экономичными функциями, позволяющими снизить общую
стоимость владения.  
  
Принтер **C823** идеально подходит для рабочих групп с различными бизнес-
потребностями. Благодаря поддержке форматов от A6 до A3 вы можете печатать
различные повседневные документы, а также коммерческие и маркетинговые
материалы, не обращаясь к сторонним поставщикам услуг. Принтер **C823**
требует небольших капиталовложений, а потому идеально подойдет для
качественной цветной печати независимо от бюджета компании.

 **Поддержка различных носителей — различные форматы и типы носителей
плотностью до 256 г/кв.м**  
Печать широкого ряда деловых и маркетинговых документов внутри компании с
универсальным принтером **C823.** Поддержка различных носителей позволяет
печатать на бумаге различной плотности до 256 г/кв.м.

  * Печатайте документы в форматах от A6 до A3, включая баннеры длиной 1.3 м
  * Для печати подходят носители плотностью от 64 до 256 г/кв.м
  * Стандартная емкость загрузки бумаги 300 листов
  * Многоцелевой лоток на 100 листов с автоматическим распознаванием различных типов бумаги
  * Высокое качество и четкость многоуровневой печати ProQ2400, разрешение печати 1200 x 600 точек на дюйм

  

 **Расширенные возможности подключения — необходимость для любого офиса с
большими объемами работы**  
Принтер **C823** с поддержкой работы в сети идеально подходит для небольших
офисов и рабочих групп. Совместимость с Gigabit Ethernet обеспечивает быструю
передачу больших цветных файлов по сети.

 **Dажные функции безопасности — обеспечьте конфиденциальность документов и
получайте доступ к сохраненным заданиям печати при необходимости**  
 **C823** обеспечивает безопасность и шифрование по самым строгим стандартам
отрасли с помощью усовершенствованных средств аутентификации пользователей для
предотвращения несанкционированного доступа и защиты корпоративных данных.

Обеспечьте конфиденциальность документов с функцией конфиденциальной печати
Private Print, которые позволяют пользователям просматривать все задания
печати. Совместимость с протоколом безопасности IPSec для обеспечения защиты
документов во время их отправки и получения

 **Экономичность и энергосбережение — эффективные, экономичные и экологичные
функции**  
 **C823** оснащен функцией автоматической двусторонней печати, которая
позволяет сократить расход бумаги, а также эко-функциями, например режимами
глубокого сна и автоматического выключения, которые также позволяют снизить
эксплуатационные расходы

  * Режим глубокого сна для экономии электроэнергии; режим автоматического выключения для снижения потребления энергии до менее чем 0.5 Вт, когда устройство не используется
  * Режим Toner Save для снижения расходов на печать черновых или внутренних документов
  * Только монохромная печать при отсутствии чернил в цветных картриджах
  * Технология светодиодной печати позволяет отказаться от использования подвижных элементов, продлевая тем самым срок службы устройства
  * Программа бесплатной переработки расходных материалов

  
  

",40,23,OKI,Светодиодная печать (цветная),Принтеры,37013,449 x 552 x 360
"Частота процессора: PowerPC 405/360 MГц Память: 32 МБ Максимальная нагрузка:
20000 страниц/мес

","
Принтеры UTAX P-3520D ",6,A4,600,600,"Принтер формата А4. Скорость печати 35 страниц в минуту. Дуплексный модуль.
Кассета для бумаги на 250 листов. Интерфейс USB 2.0. Память 32Мб. Минимальный
сервисный цикл 100.000 страниц.

",12,35,UTAX,Лазерная печать (ч/б),Принтеры,3360,393 х 375 х 250
